task,coder3,coder2,coder1
"city of eureka to dredge 76,590 cu.yds. of material from moorage areas of ten existing waterfront facilities in eureka channel of humboldt bay and undertake nearshore spoils disposal in ocean offshore of samoa peninsula, at 10 waterfront sites along eureka channel, humboldt county.  ",7,7,7
"robert rein to construct 2-story, 27 ft. high, 4,417 sq. ft. single family home, 1,056 sq. ft. 4-car garage, water tank and hydrant, septic system, improve 1,100 linear ft. of existing driveway & turnaround, and grade 4,215 cu.yds. of cut and 218 cu. yds. of fill at 21420 hillside drive, topanga, los angeles county.  ",1,1,1
"debonis & faubion construction for 25-ft-high 2,408 sq.ft. single-family home, attached 400 sq.ft. garage and 57 sq.ft. deck, on lot next to tidal wetland, at 315 canal street, newport beach, orange county.   ",1,1,1
"renita greenberg and dick & catherine kinzel for 16-pier below-grade blufftop retention system, 15-ft-high 100-ft-long 2-ft-wide tiedback concrete seawall, two rows of tiebacks at elevation +13 ft. and +19 ft., and chemical grouting of exposed \clean sands lens\"" at 25 ft. to 30 ft. above sea level below two homes, at 325 & 327 pacific avenue, solana beach, san diego county.   """,7,6,6
"pat & gil foerster to add 3,737 sq.ft. to 25-ft-high 5,829 sq.ft. office building, restripe 38 space parking lot, and combine two lots, at 2436 west coast highway, newport beach, orange county.   ",2,2,2
"san diego gas & electric company to repair and stabilize existing electrical transmission tower , fill 2,290 sq.ft. of wetland habitat with temporary disturbance of 19,479 sq.ft. of wetland habitat, and mitigate for wetland impacts, at sdg&e utility easement, next to agua hedionda creek, north of palomar airport road, west of el camino real, carlsbad, san diego county.  ",9,11,11
"scott spencer to demolish three homes  and construct 3-story, 29 1/2 ft.- high, 1,637 sq. ft., home and 3-story, 2,732 sq. ft., residential duplex on 3 lots totaling 4,111 sq .ft., at 719, 723 & 725 san rafael place, mission beach, san diego, san diego county.  ",1,1,1
"driftwood properties for graded pads and right to maintain pads, including fuel modification in compliance with requirements of city of laguna beach, at vacant land at northern terminus of driftwood drive, at northern terminus of driftwood drive, laguna beach, orange county.  ",7,5,5
"city of pacifica to repair municipal pier at beach boulevard & santa rosa avenue, pacifica, san mateo county.  ",3,3,3
"palisades landmark, llc to demolish two apartment buildings, and construct 82 unit condominium project in four 3-level and four 4-level structures above 205-space parking lot, and stabilize revello landslide with 210,000 cu.yds. of grading, on 173,496 sq.ft. lot, at 17331-17333 tramonto drive, pacific palisades, los angeles, los angeles county.  ",2,2,2
"jonathan & gina carroll to demolish 2-story single-family home and construct 2-story 7,900 sq.ft. single-family home, garage with basement, septic system, and replace driveway, with 611 cu.yds. of grading, and dispose of demolition debris & 75 cu.yds. of cut outside coastal zone, at 7200 birdview avenue, malibu, los angeles county.   ",1,1,1
"the lee group, inc. for 41-ft-high 5,677 sq.ft. single-family home with attached 3-car garage on lagoon-front lot, at 5201 via donte, venice, los angeles, los angeles county.  ",1,1,1
los angeles county to remove existing undersized 18,5,7,5
"chatmar, inc. to remodel monterey beach hotel, extend rooms out to edge of existing exterior corridors with new interior corridors and revise roof design, and add 1,720 sq.ft. of meeting space, 1176 sq.ft. spa and 21 parking spaces, at 2600-2610 sand dunes drive, monterey, monterey county.  ",2,2,2
"city of newport beach to install 12 electronic parking pay stations at 6 locations and associated signage within corona del mar state beach public parking lot, at 3001 ocean blvd., newport beach, orange county.   ",11,11,11
"steven & laura neeley to demolish 1-story single-family home and construct 2-story 5,675 sq.ft. single-family home, at 1810 san dieguito road, del mar, san diego county.  ",1,1,1
"s & p, l.l.c. to grade slope to 1:1, and construct 7,096 sq.ft. 28-ft-high single-family home, attached 3-car garage, pool, and 16-ft-high retaining wall along east part of site, at 216 north toyopa drive, pacific palisades, los angeles, los angeles county.  ",1,1,1
"exxonmobil production co. to remove belmont island, including well conductors, caisson core, decks, tower, pilings, wharves, boat landing, and rock riprap, and abandon in place one electrical power cable and four pipelines, on state lease prc 186.5 and in seal beach, orange county.   ",12,12,12
"rob mclaughlin to subdivide 34.6-acre parcel into 3 parcels of 29.6, 2.5, and 2.5 acres, at 3365 old arcata rd., arcata, humboldt county.   ",10,10,10
"los angeles county department of beaches & harbors to resurface & re-stripe public beach parking lot, install entrance controls, signs & parking attendant kiosk, and demolish & rebuild equipment rental concessions on beach at rose avenue; enlarge & resurface public beach parking lot, install entrance control signs & parking attendant kiosk, and demolish & rebuild restroom & equipment rental concession on beach at venice blvd.; resurface & re-stripe public beach parking lot, install entrance controls, signs & parking attendant kiosk, construct playground, and demolish & rebuild restrooms & equipment rental concession on beach at washington blvd.; and refurbish public restroom and add unisex ada restroom with sidewalk to jetty seaward of yawl street; consider removal of private encroachments from oceanfront walk and public beach; venice, los angeles, los angeles county.  ",11,11,11
"hermosa beach city school district to construct 34-ft-high 25,815 sq.ft. building, including 4 classrooms, gymnasium, library and maintenance facilities, and replace retaining wall on school campus, at 1645 valley drive, hermosa beach, los angeles county.  ",2,2,2
"NA6-04-163  cameron brothers granted permit with conditions for two 30-ft-high two-unit apartments totaling 8,662 sq.ft. with two parking spaces for each unit, landscaping, other improvements, and consolidation of existing lots into one lot, next to public boardwalk, at 3742 strand way, mission beach, san diego, san diego county.  ",2,2,2
"stevens street llc to construct 16,740 sq. ft. 2-story office building with 1 level subterranean parking on vacant lot, and consolidate 3 lots into one 29,000 sq. ft. lot, at 700 stevens avenue, solana beach, san diego county.  ",2,2,2
"port of long beach for in-water development associated with construction of pier t container terminal at site of now-closed long beach naval station on terminal island, proposed development includes:  permanent shallow water habitat area next to navy mole to serve as mitigation for elimination of habitat in west basin;  temporary shallow water habitat area next to pier 400 causeway to serve as mitigation during 1997 for elimination of habitat in west basin;  dredging 4.2 million cu.yds. of sediment in west basin to create approach channel and berthing area;  disposal of dredged material at one or more of following locations: uplands within port, proposed shallow water habitat sites, an in-water borrow pit adjacent to long beach main channel, and beaches within city of long beach.   ",7,7,7
"michael & barbara waresh for 5,844 sq.ft. 26-ft-high, single-family home with attached 2-car garage, pool, septic system, 507 cu.yds. grading & 370 cu.yds. grading for recompaction to replace 3,262 sq.ft. single-family home & detached garage, at 22576 carbon mesa drive, malibu, los angeles county.   ",1,1,1
"jason m. pilalas to widen existing u-shaped dock by relocating one pile and widening existing 12 x 4 headwalk to a 16 x 4headwalk and reducing the 10 x 14 platform to 10 x 12; the existing 4 x 40 fingers, 22 x 3 gangway, 20 x 4 pier approach and 4 x 5 gangway will remain the same, at 1404 w. bay avenue, newport beach orange county.  ",3,3,3
"t.c. schultz & mia koeck to demolish 560 sq.ft. detached garage, add 802 sq.ft. to single-family home, construct 1813 sq.ft. 18-ft-high detached garage & rec room with 8-ft-high masonry wall connecting to home, widen driveway to 15 feet with 15-ft-wide iron auto gate, install septic system, and perform 830 cu.yds. of grading, at 28910 boniface drive, malibu, los angeles county.   ",1,1,1
"wendell chambers to reconstruct deck and revetment  seaward of 101 - 26th avenue , live oak, santa cruz county.  ",6,6,6
"paraioli bistro to install 3 outdoor dining patios  and construct 11 space parking lot with permeable surface on site of existing restaurant, at 647 south highway 101, solana beach, san diego county.  ",2,2,2
"michael & mari johnson to remodel single-family home & pool cabana, construct detached garage with basement recreation room, sports court with 400 sq.ft. view deck, septic system, pool & spa, pool equipment room and garden walls, at 24840 pacific coast highway, malibu, los angeles county.  ",1,1,1
"hamid & evleen mishkan for 3,255 sq.ft. 42-ft-high single-family home, 2 covered parking spaces, 2 uncovered parking spaces, septic system, and 46 cu.yds. of grading, at 21370 rambla vista, malibu, los angeles county.   ",1,1,1
"NAza-2004-7191, approved with conditions for a two-parcel single-family subdivision  and subsequent construction on parcel b of one new single-family dwelling with garage. . ",1,1,1
"NA4-99-268  david geffen granted permit with conditions for 46-ft-long timber bulkhead with concrete caissons and 48-ft-long return wall on east property boundary, at 22108 pacific coast highway, malibu, los angeles county.  ",6,6,6
